Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish
Spicy Chilled Grilled Chicken Sub Sandwich,230g,430,12.0,4.5,0.0,85,1190,48,1,10,32,1,0,1,1,0,0
"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea)",3904g,790,0.0,0.0,0.0,0,0,205,0,205,0,0,0,0,0,0,0
"Gallon Chick-fil-A® Lemonade (1/2 Lemonade, 1/2 Diet Lemonade)",3989g,1390,0.5,0.0,0.0,0,40,389,1,350,1,0,0,0,0,0,0
Bottled Sweet Tea,506g,190,0.0,0.0,0.0,0,15,48,0,48,0,0,0,0,0,0,0
Bottled Unsweet Tea,486g,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0,0,0
Bottled Lemonade,520g,280,0.0,0.0,0.0,0,10,73,0,69,0,0,0,0,0,0,0
Bottled Diet Lemonade,492g,60,0.0,0.0,0.0,0,10,17,0,12,0,0,0,0,0,0,0
Honest Kids® Fruit Punch,0g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Scoop,0g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Bucket,0g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Catering Coffee,2722g,0,0.0,0.0,0.0,0,80,0,0,0,0,0,0,0,0,0,0
Regular 96 oz Coffee,2722g,0,0.0,0.0,0.0,0,80,0,0,0,0,0,0,0,0,0,0
Lettuce,20g,5,0.0,0.0,0.0,0,5,1,0,0,0,0,0,0,0,0,0
Pickles,10g,0,0.0,0.0,0.0,0,115,0,0,0,0,0,0,0,0,0,0
Tomato,30g,5,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0
American Cheese,14g,50,4.5,2.5,0.0,15,230,1,0,0,3,1,0,0,0,0,0
Colby Jack Cheese,21g,80,7.0,4.0,0.0,20,140,0,0,0,5,1,0,0,0,0,0
Pepper Jack Cheese,21g,80,6.0,4.0,0.0,20,140,0,0,0,4,1,0,0,0,0,0
